Seconds,398
No. of Inputs,60
Inputs:
Left
Up-Right
Left
Right
Up-Right
Right
Up-Right
Right
Left
Down
Down-Right
Punch
Down-Right
Punch
Down-Right
Punch
Down-Right
Punch
Right
Down
Down-Right
Right
Punch
Left
Right
Down
Down-Right
Punch
Right
Left
Down
Down-Right
Right
Punch
Right
Left
Right
Down
Down-Right
Right
Punch
Right
Left
Down
Down-Right
Punch
Right
Down
Down-Right
Punch
Down-Right
Punch
Down-Right
Punch
Right
Down
Down-Right
Punch
Right
Left
